date_time,heart_zone_id,total_minutes
2021-06-01T19:52,FAT_BURN,1
2021-06-01T20:07,FAT_BURN,1
2021-06-01T20:08,FAT_BURN,1
2021-06-01T20:09,FAT_BURN,1
2021-06-01T20:14,FAT_BURN,1
2021-06-01T20:15,FAT_BURN,1
2021-06-01T20:16,FAT_BURN,1
2021-06-01T20:17,FAT_BURN,1
2021-06-01T20:18,FAT_BURN,1
2021-06-01T20:40,CARDIO,2
2021-06-01T20:41,CARDIO,2
2021-06-01T20:42,CARDIO,2
2021-06-01T20:43,CARDIO,2
2021-06-01T20:44,CARDIO,2
2021-06-01T20:45,CARDIO,2
2021-06-01T20:46,CARDIO,2
2021-06-01T20:47,FAT_BURN,1
2021-06-01T20:48,CARDIO,2
2021-06-01T20:49,CARDIO,2
2021-06-01T20:53,FAT_BURN,1
2021-06-01T20:54,FAT_BURN,1
2021-06-01T20:57,FAT_BURN,1
2021-06-01T20:58,FAT_BURN,1
2021-06-01T20:59,FAT_BURN,1
2021-06-01T21:02,CARDIO,2
2021-06-01T21:03,CARDIO,2
2021-06-01T21:04,CARDIO,2
2021-06-01T21:05,FAT_BURN,1
2021-06-01T21:06,CARDIO,2
2021-06-01T21:07,FAT_BURN,1
2021-06-01T21:08,FAT_BURN,1
2021-06-01T21:10,FAT_BURN,1
2021-06-01T21:13,CARDIO,2
2021-06-01T21:14,FAT_BURN,1
2021-06-01T21:16,FAT_BURN,1
2021-06-01T21:20,FAT_BURN,1
2021-06-01T21:21,CARDIO,2
2021-06-01T21:22,FAT_BURN,1
2021-06-01T21:23,CARDIO,2
2021-06-01T21:24,CARDIO,2
2021-06-01T21:25,CARDIO,2
2021-06-01T21:26,CARDIO,2
2021-06-01T21:27,CARDIO,2
2021-06-01T21:28,CARDIO,2
2021-06-01T21:29,CARDIO,2
2021-06-01T21:30,FAT_BURN,1
2021-06-01T21:32,CARDIO,2
2021-06-01T21:33,FAT_BURN,1
2021-06-01T21:34,CARDIO,2
2021-06-01T21:37,CARDIO,2
2021-06-01T21:38,CARDIO,2
2021-06-01T21:54,FAT_BURN,1
2021-06-01T21:55,FAT_BURN,1
2021-06-01T21:57,FAT_BURN,1
2021-06-01T21:58,FAT_BURN,1
2021-06-02T18:18,FAT_BURN,1
2021-06-02T18:19,FAT_BURN,1
2021-06-02T18:20,FAT_BURN,1
2021-06-02T18:21,FAT_BURN,1
2021-06-02T18:22,FAT_BURN,1
2021-06-02T18:23,FAT_BURN,1
2021-06-03T12:24,FAT_BURN,1
2021-06-03T20:39,FAT_BURN,1
2021-06-03T20:40,FAT_BURN,1
2021-06-03T20:41,FAT_BURN,1
2021-06-04T06:23,FAT_BURN,1
2021-06-04T18:44,FAT_BURN,1
2021-06-04T18:45,FAT_BURN,1
