date_time,heart_zone_id,total_minutes
2020-12-01T09:35,FAT_BURN,1
2020-12-01T09:36,FAT_BURN,1
2020-12-01T09:37,FAT_BURN,1
2020-12-01T09:38,FAT_BURN,1
2020-12-02T21:35,FAT_BURN,1
2020-12-02T21:36,FAT_BURN,1
2020-12-03T11:02,FAT_BURN,1
2020-12-03T11:03,FAT_BURN,1
2020-12-03T11:06,FAT_BURN,1
2020-12-03T11:07,FAT_BURN,1
2020-12-03T11:08,FAT_BURN,1
2020-12-03T12:50,FAT_BURN,1
2020-12-03T12:51,FAT_BURN,1
2020-12-03T18:29,FAT_BURN,1
2020-12-04T19:30,FAT_BURN,1
2020-12-04T19:32,FAT_BURN,1
2020-12-04T19:33,FAT_BURN,1
2020-12-04T19:34,CARDIO,2
2020-12-04T19:35,CARDIO,2
2020-12-04T19:36,FAT_BURN,1
2020-12-04T19:37,FAT_BURN,1
2020-12-04T19:38,FAT_BURN,1
2020-12-04T19:39,FAT_BURN,1
2020-12-04T19:40,FAT_BURN,1
2020-12-04T19:41,FAT_BURN,1
2020-12-04T19:42,FAT_BURN,1
2020-12-04T19:43,FAT_BURN,1
2020-12-04T20:07,CARDIO,2
2020-12-04T20:08,FAT_BURN,1
2020-12-04T20:09,CARDIO,2
2020-12-04T20:10,CARDIO,2
2020-12-04T20:12,CARDIO,2
2020-12-04T20:13,CARDIO,2
2020-12-04T20:14,CARDIO,2
2020-12-04T20:15,FAT_BURN,1
2020-12-04T20:16,CARDIO,2
2020-12-04T20:17,CARDIO,2
2020-12-04T20:18,CARDIO,2
2020-12-04T20:19,CARDIO,2
2020-12-04T20:20,CARDIO,2
2020-12-04T20:21,CARDIO,2
2020-12-04T20:22,CARDIO,2
2020-12-04T20:23,CARDIO,2
2020-12-04T20:24,CARDIO,2
2020-12-04T20:25,CARDIO,2
2020-12-04T20:26,CARDIO,2
2020-12-04T20:27,FAT_BURN,1
2020-12-04T20:28,FAT_BURN,1
2020-12-04T20:29,FAT_BURN,1
2020-12-04T20:30,CARDIO,2
2020-12-04T20:31,CARDIO,2
2020-12-04T20:32,CARDIO,2
2020-12-04T20:33,CARDIO,2
2020-12-04T20:34,FAT_BURN,1
2020-12-04T20:35,FAT_BURN,1
2020-12-04T20:36,FAT_BURN,1
2020-12-04T20:37,FAT_BURN,1
2020-12-04T20:38,FAT_BURN,1
2020-12-04T20:39,CARDIO,2
2020-12-04T20:40,CARDIO,2
2020-12-04T20:41,CARDIO,2
2020-12-04T20:42,CARDIO,2
2020-12-04T20:43,FAT_BURN,1
2020-12-04T20:44,FAT_BURN,1
2020-12-04T20:45,FAT_BURN,1
2020-12-04T20:46,FAT_BURN,1
2020-12-04T20:47,CARDIO,2
2020-12-04T20:48,CARDIO,2
2020-12-04T20:49,FAT_BURN,1
2020-12-04T20:50,FAT_BURN,1
2020-12-04T20:51,FAT_BURN,1
2020-12-04T20:52,CARDIO,2
2020-12-04T20:53,FAT_BURN,1
2020-12-04T20:54,FAT_BURN,1
2020-12-04T20:55,FAT_BURN,1
2020-12-04T20:56,FAT_BURN,1
2020-12-04T20:57,FAT_BURN,1
2020-12-04T20:58,FAT_BURN,1
2020-12-04T20:59,FAT_BURN,1
2020-12-04T21:00,FAT_BURN,1
2020-12-04T21:01,FAT_BURN,1
2020-12-04T21:02,FAT_BURN,1
2020-12-04T21:03,FAT_BURN,1
2020-12-04T21:04,FAT_BURN,1
2020-12-04T21:12,FAT_BURN,1
2020-12-04T21:13,FAT_BURN,1
2020-12-04T21:14,FAT_BURN,1
2020-12-04T21:27,FAT_BURN,1
2020-12-04T21:29,FAT_BURN,1
2020-12-04T21:30,FAT_BURN,1
2020-12-04T21:37,FAT_BURN,1
2020-12-04T21:38,FAT_BURN,1
2020-12-04T21:39,FAT_BURN,1
2020-12-04T21:42,FAT_BURN,1
2020-12-05T12:49,FAT_BURN,1
