date_time,heart_zone_id,total_minutes
2020-11-01T10:52,FAT_BURN,1
2020-11-01T10:53,CARDIO,2
2020-11-01T10:54,FAT_BURN,1
2020-11-01T10:55,FAT_BURN,1
2020-11-01T11:01,CARDIO,2
2020-11-01T11:02,FAT_BURN,1
2020-11-01T11:03,FAT_BURN,1
2020-11-01T11:04,FAT_BURN,1
2020-11-01T11:05,FAT_BURN,1
2020-11-01T11:06,FAT_BURN,1
2020-11-01T11:07,FAT_BURN,1
2020-11-01T11:08,FAT_BURN,1
2020-11-01T11:09,FAT_BURN,1
2020-11-01T11:10,FAT_BURN,1
2020-11-01T11:11,FAT_BURN,1
2020-11-01T11:12,FAT_BURN,1
2020-11-01T11:14,FAT_BURN,1
2020-11-01T11:15,FAT_BURN,1
2020-11-01T11:16,FAT_BURN,1
2020-11-01T11:41,FAT_BURN,1
2020-11-01T11:42,FAT_BURN,1
2020-11-01T11:44,FAT_BURN,1
2020-11-01T11:45,FAT_BURN,1
2020-11-01T11:46,FAT_BURN,1
2020-11-01T14:59,FAT_BURN,1
2020-11-01T15:00,FAT_BURN,1
2020-11-01T16:38,FAT_BURN,1
2020-11-01T16:39,FAT_BURN,1
2020-11-02T20:15,CARDIO,2
2020-11-02T20:16,CARDIO,2
2020-11-02T20:17,CARDIO,2
2020-11-02T20:18,CARDIO,2
2020-11-02T20:19,CARDIO,2
2020-11-02T20:20,CARDIO,2
2020-11-02T20:21,CARDIO,2
2020-11-02T20:22,CARDIO,2
2020-11-02T20:23,CARDIO,2
2020-11-02T20:24,CARDIO,2
2020-11-02T20:25,CARDIO,2
2020-11-02T20:26,CARDIO,2
2020-11-02T20:27,CARDIO,2
2020-11-02T20:28,CARDIO,2
2020-11-02T20:29,CARDIO,2
2020-11-02T20:30,CARDIO,2
2020-11-02T20:31,CARDIO,2
2020-11-02T20:32,CARDIO,2
2020-11-02T20:33,CARDIO,2
2020-11-02T20:34,CARDIO,2
2020-11-02T20:35,CARDIO,2
2020-11-02T20:36,CARDIO,2
2020-11-02T20:37,CARDIO,2
2020-11-02T20:38,CARDIO,2
2020-11-02T20:39,CARDIO,2
2020-11-02T20:40,CARDIO,2
